"都道府県名","市町村名","平均所得"
"兵庫県","赤穂市",3047173
"岐阜県","白川村",3046363
"北海道","奥尻町",3046135
"長野県","塩尻市",3045169
"埼玉県","宮代町",3044903
"神奈川県","中井町",3043714
"岐阜県","美濃加茂市",3042410
"滋賀県","竜王町",3042400
"三重県","伊勢市",3041091
"群馬県","伊勢崎市",3039698
"沖縄県","浦添市",3039627
"和歌山県","みなべ町",3039570
"鹿児島県","宇検村",3038905
"石川県","小松市",3038202
"奈良県","桜井市",3036946
"長野県","下諏訪町",3036507
"東京都","大島町",3034338
"徳島県","阿南市",3033876
"北海道","帯広市",3032245
"北海道","共和町",30359
"千葉県","一宮町",3029404
"大阪府","阪南市",3029261
"高知県","高知市",3027756
"長野県","岡谷市",3027480
"福島県","相馬市",3023646
"北海道","広尾町",3022541
"佐賀県","鳥栖市",3022360
"和歌山県","海南市",3022284
"兵庫県","たつの市",302490
"長野県","御代田町",3019834
"北海道","美瑛町",3018435
"群馬県","吉岡町",3018140
"北海道","日高町",3014860
"長野県","山形村",3014833
"北海道","泊村",3014489
"埼玉県","羽生市",3014431
"北海道","浦河町",3012348
"和歌山県","岩出市",3012320
"埼玉県","本庄市",3012106
"新潟県","新潟市",3011560
"京都府","亀岡市",3009213
"奈良県","川西町",3008074
"滋賀県","東近江市",3007311
"岐阜県","関市",3007038
"栃木県","芳賀町",3004972
"大阪府","忠岡町",3003308
"広島県","坂町",3003051
"北海道","東神楽町",3002933
"愛知県","南知多町",3002019
"長野県","原村",3001790
"静岡県","焼津市",300906
"熊本県","合志市",300889
"兵庫県","加西市",300587
"滋賀県","湖南市",2999856
"岐阜県","富加町",2999264
"長野県","宮田村",2999200
"福岡県","苅田町",2998703
"愛媛県","今治市",2997676
"徳島県","松茂町",2997443
"静岡県","富士宮市",2997436
"千葉県","酒々井町",2996510
"東京都","新島村",2996218
"北海道","雨竜町",2995277
"岐阜県","本巣市",2993525
"福岡県","糸島市",2993096
"山口県","岩国市",2991532
"北海道","平取町",2991495
"青森県","三沢市",2991464
"三重県","名張市",2991153
"宮城県","多賀城市",29955
"沖縄県","中城村",2988144
"岐阜県","安八町",2987621
"奈良県","明日香村",2986794
"栃木県","那須塩原市",2986771
"兵庫県","稲美町",2985278
"北海道","小清水町",2984563
"福島県","白河市",2982427
"千葉県","茂原市",2982160
"長野県","坂城町",2981084
"石川県","川北町",2981057
"広島県","尾道市",298756
"北海道","置戸町",298342
"茨城県","古河市",298324
"北海道","厚岸町",298306
"神奈川県","清川村",29830
"北海道","新冠町",2979993
"栃木県","野木町",2979937
"滋賀県","長浜市",2979892
"埼玉県","松伏町",2979217
"福岡県","古賀市",2978146
"埼玉県","行田市",2976138
"静岡県","函南町",2976117
"埼玉県","加須市",2975082
"島根県","松江市",2974815
"宮崎県","宮崎市",2974369
"静岡県","島田市",2974054
"鳥取県","日吉津村",2973386
"福島県","南相馬市",2972293
"青森県","大間町",2972162
"秋田県","秋田市",2971042
"京都府","城陽市",2969853
"石川県","内灘町",2969500
"福井県","美浜町",2969062
"山口県","防府市",2968059
"北海道","北竜町",2967147
"長崎県","長崎市",2966148
"群馬県","安中市",2964998
"京都府","舞鶴市",2964878
"香川県","丸亀市",2962741
"広島県","大竹市",2962585
"北海道","新篠津村",2962241
"滋賀県","多賀町",2962002
"北海道","滝上町",2961252
"北海道","室蘭市",2959719
"群馬県","富岡市",2959696
"栃木県","足利市",2959495
"北海道","仁木町",2958777
"大阪府","門真市",2958282
"北海道","北見市",2958116
"山口県","和木町",2958015
"山梨県","韮崎市",2957639
"兵庫県","三木市",2955498
"北海道","千歳市",2955334
"兵庫県","福崎町",2955040
"静岡県","伊豆の国市",2954511
"石川県","白山市",2953292
"長野県","佐久市",2951676
"徳島県","那賀町",2951210
"宮城県","岩沼市",2951143
"富山県","射水市",295462
"富山県","黒部市",295376
"滋賀県","甲賀市",29589
"長野県","箕輪町",2949989
"京都府","井手町",2948612
"栃木県","佐野市",2947825
"茨城県","かすみがうら市",2947006
"香川県","坂出市",2946899
"愛媛県","四国中央市",2946430
"奈良県","天理市",2945660
"栃木県","栃木市",2945416
"岐阜県","垂井町",2944094
"滋賀県","愛荘町",2943673
"北海道","士別市",2943407
"北海道","妹背牛町",2943340
"奈良県","大和高田市",2942700
"京都府","宇治田原町",2942550
"長野県","南箕輪村",2942084
"岡山県","里庄町",2941742
"岐阜県","大野町",294937
"北海道","遠別町",294675
"熊本県","嘉島町",29433
"山梨県","道志村",2939359
"長野県","駒ヶ根市",2938981
"北海道","池田町",2937395
"熊本県","大津町",2936341
"北海道","苫小牧市",2935788
"長崎県","対馬市",2935526
"和歌山県","有田市",2935489
"和歌山県","有田川町",2934592
"徳島県","藍住町",2934486
"大阪府","岬町",2934332
"北海道","島牧村",2934000
"東京都","日の出町",2933187
"岐阜県","池田町",2933004
"群馬県","昭和村",2931821
"長野県","上田市",2931332
"奈良県","御所市",293314
"兵庫県","相生市",293101
"静岡県","吉田町",2927788
"栃木県","大田原市",2926911
"北海道","西興部村",2926884
"埼玉県","幸手市",2926525
"北海道","津別町",2924597
"長野県","伊那市",2923760
"北海道","えりも町",2923673
"長野県","茅野市",2923556
"東京都","八丈町",2923288
"和歌山県","橋本市",2922071
"北海道","新得町",2919879
"鳥取県","米子市",2919553
"山口県","下関市",2919410
"栃木県","真岡市",2919137
"岩手県","北上市",2918675
"山梨県","上野原市",2918541
"福岡県","岡垣町",2918458
"岐阜県","美濃市",2917586
"京都府","福知山市",2916398
"奈良県","十津川村",2915653
"福岡県","行橋市",2914158
"富山県","高岡市",2914079
"福井県","おおい町",2913820
"群馬県","板倉町",291536
"石川県","津幡町",2909348
"兵庫県","加東市",2909345
"北海道","幕別町",2909325
"滋賀県","日野町",2909213
"沖縄県","宜野湾市",2909194
"長野県","安曇野市",2908353
"北海道","寿都町",2907182
"岐阜県","神戸町",2904997
"山梨県","小菅村",2904646
"北海道","中富良野町",2903927
"群馬県","桐生市",2903754
"栃木県","鹿沼市",2903382
"千葉県","東金市",2902929
"群馬県","嬬恋村",2902401
"栃木県","市貝町",2902027
"奈良県","三宅町",2901542
"沖縄県","豊見城市",290615
"福岡県","篠栗町",290411
"茨城県","石岡市",2898763
"福井県","越前市",2898042
"北海道","根室市",2897921
"福井県","永平寺町",2897902
"富山県","滑川市",2895862
"三重県","伊賀市",2895712
"群馬県","みどり市",2895335
"埼玉県","川島町",2895102
"新潟県","長岡市",2893799
"茨城県","那珂市",2893738
"三重県","明和町",2893590
"岐阜県","川辺町",2893557
"静岡県","菊川市",2893275
"茨城県","潮来市",2892715
"新潟県","刈羽村",2892467
"長崎県","大村市",2891287
"山梨県","南アルプス市",289533
"岐阜県","土岐市",2888108
"徳島県","鳴門市",2887262
"山口県","柳井市",2886375
"北海道","京極町",2886068
"群馬県","玉村町",2883955
"千葉県","富里市",2883855
"北海道","沼田町",2883160
"和歌山県","北山村",2882908
"三重県","玉城町",2882336
"愛知県","新城市",288897
"沖縄県","沖縄市",288841
"北海道","遠軽町",288838
"富山県","砺波市",288243
"静岡県","御前崎市",28816
"神奈川県","真鶴町",2879799
"北海道","江差町",2879558
"茨城県","結城市",2878954
"群馬県","明和町",2878713
"神奈川県","愛川町",2878071
"群馬県","榛東村",2877550
"北海道","函館市",2877370
"岐阜県","中津川市",2877265
"福井県","坂井市",2877070
"岐阜県","輪之内町",2877003
"長野県","飯田市",2876692
"岐阜県","海津市",2876476
"広島県","三原市",2875921
"長野県","南牧村",2875214
"千葉県","東庄町",2874679
"岐阜県","瑞浪市",2874628
"熊本県","益城町",2874419
"新潟県","上越市",2874081
"山梨県","富士川町",2873987
"北海道","新ひだか町",2873094
"福井県","小浜市",2872833
"宮城県","大和町",2871200
"北海道","長沼町",2871052
"長野県","飯島町",287373
"山梨県","山梨市",287243
"北海道","名寄市",2869886
"山梨県","西桂町",2869234
"群馬県","邑楽町",2868977
"長野県","小布施町",2868842
"兵庫県","小野市",2868797
"高知県","大川村",2868258
"群馬県","長野原町",2868201
"香川県","観音寺市",2868075
"広島県","熊野町",2867810
"埼玉県","毛呂山町",2866910
"北海道","むかわ町",2866895
"千葉県","旭市",2866879
"富山県","魚津市",2865368
"北海道","蘭越町",2865253
"北海道","中頓別町",2865023
"岐阜県","八百津町",2864185
"千葉県","栄町",2863674
"和歌山県","御坊市",2862645
"岡山県","総社市",286761
"埼玉県","越生町",2859879
"福岡県","須恵町",2859658
"千葉県","富津市",2859355
"岐阜県","関ケ原町",2859315
"岐阜県","山県市",2859065
"北海道","新十津川町",2858345
"北海道","北広島市",2857942
"島根県","隠岐の島町",2857520
"岐阜県","恵那市",2857418
"長野県","須坂市",2857304
"埼玉県","嵐山町",2857141
"和歌山県","日高町",2856869
"群馬県","渋川市",2856852
"山梨県","都留市",2856357
"岐阜県","坂祝町",2854863
"山梨県","甲州市",2854366
"茨城県","行方市",2854036
"岐阜県","御嵩町",2853483
"岐阜県","養老町",2853469
"大阪府","泉南市",2851498
"香川県","三木町",2851244
"埼玉県","鳩山町",285792
"青森県","八戸市",2849252
"岡山県","津山市",2849091
"北海道","豊富町",2848861
"島根県","出雲市",2848078
"神奈川県","山北町",2847996
"北海道","厚沢部町",2847607
"福岡県","飯塚市",2846327
"神奈川県","湯河原町",2845537
"兵庫県","丹波篠山市",2845414
"千葉県","香取市",2844088
"茨城県","常総市",2843388
"宮城県","石巻市",2843023
"岐阜県","高山市",2842302
"新潟県","三条市",2841609
"埼玉県","長瀞町",2841551
"兵庫県","西脇市",2841168
"福島県","会津若松市",284772
"茨城県","筑西市",284677
"愛媛県","西条市",2839832
"大分県","津久見市",2839499
"長野県","高森町",2837989
"兵庫県","洲本市",2837815
"山梨県","大月市",2837767
"鹿児島県","霧島市",2837706
"埼玉県","吉見町",2837619
"茨城県","五霞町",2837358
"東京都","奥多摩町",2836732
"沖縄県","宮古島市",2835289
"北海道","旭川市",2835203
"埼玉県","秩父市",2835080
"北海道","利尻富士町",2834327
"大分県","中津市",2834019
"北海道","南幌町",2833836
"茨城県","境町",2833182
"山形県","南陽市",2832916
"北海道","砂川市",2832636
"山形県","新庄市",2831845
"長野県","松川村",2831388
"北海道","八雲町",283643
"群馬県","千代田町",2829875
"北海道","下川町",2829746
"和歌山県","美浜町",2828521
"徳島県","小松島市",2828110
"長崎県","時津町",2827784
"群馬県","沼田市",2826940
"佐賀県","吉野ヶ里町",2826176
"埼玉県","横瀬町",2826100
"和歌山県","紀の川市",2825898
"長野県","千曲市",2825594
"茨城県","常陸太田市",2825549
"愛媛県","松前町",2825284
"佐賀県","基山町",2825056
"千葉県","神崎町",2825022
"福岡県","筑後市",2824992
"千葉県","匝瑳市",2824654
"茨城県","八千代町",2824531
"北海道","美幌町",2824477
"千葉県","銚子市",2824171
"奈良県","高取町",2824119
"奈良県","大淀町",2823706
"福岡県","芦屋町",2822992
"奈良県","野迫川村",2822936
"茨城県","北茨城市",2822730
"福島県","西郷村",2822454
"山梨県","北杜市",2822415
"北海道","恵庭市",2822252
"長崎県","諫早市",2821876
"三重県","木曽岬町",2821033
"福島県","飯舘村",282928
"長野県","川上村",282862
"山梨県","笛吹市",282669
"青森県","弘前市",2819344
"香川県","善通寺市",2819172
"山口県","山陽小野田市",2816716
"北海道","黒松内町",2816233
"北海道","江別市",2815397
"北海道","美深町",2814229
"福岡県","遠賀町",2813153
"熊本県","西原村",281924
"長崎県","佐世保市",281453
"香川県","多度津町",281390
"三重県","多気町",2809476
"広島県","竹原市",2808833
"北海道","釧路市",2808829
"埼玉県","小川町",2808737
"北海道","富良野市",2807774
"栃木県","矢板市",2807103
"愛媛県","八幡浜市",2806318
"長野県","東御市",2805704
"北海道","秩父別町",2803688
"北海道","留萌市",2803638
"北海道","今金町",2803567
"静岡県","森町",2801947
"北海道","南富良野町",2801878
"北海道","積丹町",2801790
"群馬県","片品村",2801655
"宮城県","七ヶ浜町",280944
"群馬県","藤岡市",280904
"長野県","北相木村",280901
"岩手県","矢巾町",280672
"奈良県","上北山村",280196
"岡山県","井原市",2799544
"鳥取県","鳥取市",2799281
"新潟県","柏崎市",2797867
"石川県","かほく市",2796299
"茨城県","笠間市",2794631
"茨城県","下妻市",2793440
"北海道","羽幌町",2792799
"福島県","須賀川市",2792200
"北海道","上ノ国町",2791919
"和歌山県","新宮市",2791885
"岐阜県","揖斐川町",2791793
"群馬県","大泉町",2791783
"新潟県","燕市",279952
"茨城県","小美玉市",279624
"福井県","あわら市",279487
"長野県","松川町",2789765
"奈良県","下市町",2789491
"滋賀県","高島市",2788916
"千葉県","鴨川市",2788199
"三重県","尾鷲市",2787750
"北海道","真狩村",2787309
"北海道","小平町",2786873
"北海道","上富良野町",2785573
"北海道","東川町",2784515
"宮城県","大河原町",2784427
"鹿児島県","薩摩川内市",2783970
"静岡県","牧之原市",2783437
"岡山県","鏡野町",2781344
"青森県","東通村",278874
"福岡県","宇美町",278788
"北海道","浦臼町",278505
"岐阜県","七宗町",278435
"北海道","鷹栖町",278374
"長野県","池田町",2779926
"長野県","富士見町",2779305
"埼玉県","寄居町",2779043
"奈良県","宇陀市",2778874
"長野県","辰野町",2777623
"青森県","青森市",2776879
"千葉県","横芝光町",2776403
"広島県","府中市",2776257
